name,oldest,refs,ts_count,youngest
Placoparia borni,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Ptiloconus anomalis,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Yangtzeplacognathus foliaceus,Ordovician,"2, 3, 12, 14, 401",0.0,Ordovician
Neseuretus tristani,Ordovician,"2, 3, 12, 387, 401",0.0,Ordovician
Zeliszkella toledana,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Evenkina lenaica/ Evenkina anabarensis,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Homotellus lenaensis,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Soanella maslovi,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Homotellus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Ortograptus propinquus,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Eoplacognathus reclinatus,Ordovician,"2, 3, 12, 188, 401",0.0,Ordovician
Eoplacognathus robustus,Ordovician,"2, 3, 12, 188, 401",0.0,Ordovician
Lenatoechia lenaensis,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Quadrilobella recta,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Mastigograptus datzenkoi,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Kandle,Ordovician,"2, 3, 8, 9, 12, 401",0.0,Ordovician
Dw3,Ordovician,"2, 3, 12, 13, 401",0.0,Ordovician
Sjøstrand,Ordovician,"2, 3, 12, 104, 401",0.0,Ordovician
McLish,Ordovician,"2, 3, 12, 88, 401",0.0,Ordovician
Oretanian Upper,Ordovician,"2, 3, 12, 318, 321, 401",0.0,Ordovician
Wulalike,Ordovician,"2, 3, 12, 372, 401",0.0,Ordovician
Row Park,Ordovician,"2, 3, 12, 50, 401",0.0,Ordovician
Crystal Peak,Ordovician,"2, 3, 12, 39, 114, 401",0.0,Ordovician
Lower Dobrotivian,Ordovician,"2, 3, 12, 318, 321, 401",0.0,Ordovician
Darriwilian 4,Ordovician,"2, 3, 12, 401",0.0,Ordovician
