name,oldest,youngest,ts_count,refs,rule
Prioniodus elegans,Floian,Floian,0.0,"400, 12",1.0
Reutterodus andinus,Floian,Floian,0.0,12,1.0
Tetragraptus approximatus,Floian,Floian,0.0,12,1.0
Tetragraptus phyllograptoides,Floian,Floian,0.0,12,1.0
Nanorthis/ Rhyselasma,Floian,Floian,0.0,399,1.0
Rhabdinopora omnutachense,Floian,Floian,0.0,399,1.0
Scandodus warendensis - Scandodus pseudoquadratus,Floian,Floian,0.0,399,1.0
Shumardia-Paenebeltella,Floian,Floian,0.0,399,1.0
Phyllograptus densus,Floian,Floian,0.0,400,1.0
Tetragraptus phyllograptoides/ Tetragraptus approximatus,Floian,Floian,0.0,400,1.0
Pterograptus elegans,Floian,Floian,0.0,71,1.0
Ustrybnaya,Dapingian,Dapingian,0.0,34,2.0
Kimaian,Dapingian,Dapingian,0.0,"2, 400, 335, 399, 106",2.0
Chunian,Dapingian,Darriwilian,1.0,335,2.0
Vikhorevian,Darriwilian,Darriwilian,0.0,"335, 399, 2",2.0
Rakhmet,Dapingian,Dapingian,0.0,258,2.0
Arenig,Floian,Darriwilian,2.0,2,2.0
Arenigian,Dapingian,Darriwilian,1.0,2,2.0
Castlemainian,Floian,Dapingian,1.0,"12, 2",2.0
Fennian,Dapingian,Darriwilian,1.0,"12, 2",2.0
Middle Arenigian,Floian,Dapingian,1.0,2,2.0
Oeland,Tremadocian,Darriwilian,3.0,2,2.0
Rangerian,Dapingian,Dapingian,0.0,"12, 2",2.0
Upper Arenigian,Dapingian,Dapingian,0.0,2,2.0
Volkhov,Dapingian,Darriwilian,1.0,"12, 2",2.0
Whiterockian,Dapingian,Dapingian,0.0,"12, 2",2.0
Whitlandian,Floian,Floian,0.0,"12, 2",2.0
Yapeenian,Dapingian,Dapingian,0.0,"12, 2",2.0
Dawanian,Floian,Dapingian,1.0,12,2.0
Aiyan,Tremadocian,Darriwilian,3.0,201,2.0
Kuibyshevo,Dapingian,Darriwilian,1.0,400,2.0
Lebed,Floian,Dapingian,1.0,400,2.0
Tuloi,Floian,Dapingian,1.0,400,2.0
Bolgozha,Floian,Darriwilian,2.0,133,2.0
Karatal,Floian,Darriwilian,2.0,133,2.0
Zhalgyz,Tremadocian,Dapingian,2.0,133,2.0
Valongo,Floian,Darriwilian,2.0,134,2.0
Upper Second Bani,Hirnantian,Hirnantian,0.0,126,2.0
Orea,Hirnantian,Hirnantian,0.0,310,2.0
HICE,Hirnantian,Hirnantian,0.0,17,2.0
Burian,Katian,Katian,0.0,"400, 335, 399, 2",2.0
Keel,Hirnantian,Hirnantian,0.0,"186, 110",2.0
Sylvan Shale,Hirnantian,Hirnantian,0.0,110,2.0
Nirundian,Katian,Katian,0.0,"400, 335, 399, 2",2.0
Zalesie,Hirnantian,Hirnantian,0.0,131,2.0
Zapla,Hirnantian,Hirnantian,0.0,272,2.0
Cason Oolite,Hirnantian,Hirnantian,0.0,186,2.0
Cason Shale,Hirnantian,Hirnantian,0.0,186,2.0
Cyrene,Hirnantian,Hirnantian,0.0,186,2.0
Giradeau Limestone,Hirnantian,Hirnantian,0.0,186,2.0
Leemon,Hirnantian,Hirnantian,0.0,186,2.0
Noix,Hirnantian,Hirnantian,0.0,186,2.0
Pettit,Hirnantian,Hirnantian,0.0,186,2.0
Ashgill,Katian,Hirnantian,1.0,2,2.0
Bolindian,Katian,Katian,0.0,"12, 2",2.0
Cincinnatian,Katian,Hirnantian,1.0,2,2.0
Gamachian,Hirnantian,Hirnantian,0.0,"12, 2, 47",2.0
Harju,Katian,Hirnantian,1.0,2,2.0
Kosovian,Hirnantian,Hirnantian,0.0,2,2.0
Porkuni,Hirnantian,Hirnantian,0.0,"12, 2",2.0
Chientangkiangian,Katian,Katian,0.0,"12, 2",2.0
Glisstjärn,Hirnantian,Hirnantian,0.0,11,2.0
Tommarp,Hirnantian,Hirnantian,0.0,11,2.0
Cote de la Surprise,Hirnantian,Hirnantian,0.0,368,2.0
Listvyanka,Hirnantian,Hirnantian,0.0,400,2.0
Tekhten,Katian,Hirnantian,1.0,400,2.0
Vtorye Utyosy,Hirnantian,Hirnantian,0.0,400,2.0
Langåra,Hirnantian,Hirnantian,0.0,29,2.0
Skøyen,Hirnantian,Hirnantian,0.0,29,2.0
Sobrido,Hirnantian,Hirnantian,0.0,134,2.0
Las Vicunas,Tremadocian,Tremadocian,0.0,256,2.0
Schaghticoke,Tremadocian,Tremadocian,0.0,160,2.0
Loparian,Tremadocian,Tremadocian,0.0,335,2.0
Mansian,Tremadocian,Tremadocian,0.0,335,2.0
Nyaian,Tremadocian,Tremadocian,0.0,"400, 335, 399, 2",2.0
Ust'-Kutian,Tremadocian,Floian,1.0,335,2.0
Dumugol,Tremadocian,Tremadocian,0.0,"1, 68",2.0
Cressagian,Tremadocian,Tremadocian,0.0,"12, 2",2.0
Ibexian,Tremadocian,Floian,1.0,2,2.0
Lancefieldian,Tremadocian,Floian,1.0,"12, 2",2.0
Migneintian,Tremadocian,Tremadocian,0.0,"12, 2",2.0
Pakerort,Tremadocian,Tremadocian,0.0,"12, 2",2.0
Skullrockian,Tremadocian,Tremadocian,0.0,"12, 2",2.0
Stairsian,Tremadocian,Tremadocian,0.0,"12, 2",2.0
Tremadoc,Tremadocian,Tremadocian,0.0,2,2.0
Tremadocian Upper,Tremadocian,Tremadocian,0.0,2,2.0
Tulean,Tremadocian,Floian,1.0,"12, 2",2.0
Varangu,Tremadocian,Tremadocian,0.0,"12, 2",2.0
Dongjeom,Tremadocian,Tremadocian,0.0,1,2.0
Mungok,Tremadocian,Tremadocian,0.0,1,2.0
Mungyeong Group,Tremadocian,Darriwilian,3.0,1,2.0
Pyeongchang Group,Tremadocian,Darriwilian,3.0,1,2.0
Taebaek Group,Tremadocian,Darriwilian,3.0,1,2.0
Yeongwol Group,Tremadocian,Darriwilian,3.0,1,2.0
Hunneberg,Floian,Floian,0.0,"12, 2",2.0
Ichangian,Tremadocian,Tremadocian,0.0,12,2.0
Warendan,Tremadocian,Tremadocian,0.0,12,2.0
Takoshkin,Tremadocian,Tremadocian,0.0,400,2.0
Upper Tayanza,Tremadocian,Tremadocian,0.0,400,2.0
Dead River,Tremadocian,Tremadocian,0.0,175,2.0
Rosaire,Tremadocian,Tremadocian,0.0,175,2.0
Kaki Bukit,Darriwilian,Katian,2.0,24,2.0
Kirenskian,Darriwilian,Darriwilian,0.0,335,2.0
Kirenskian-Kudrinian,Darriwilian,Darriwilian,0.0,"400, 335, 399",2.0
Krivolukian,Darriwilian,Darriwilian,0.0,335,2.0
Kudrinan,Darriwilian,Darriwilian,0.0,335,2.0
Mukteian,Darriwilian,Darriwilian,0.0,"400, 335, 399, 2",2.0
Volginian,Darriwilian,Darriwilian,0.0,"400, 335, 399, 2",2.0
Peletay,Darriwilian,Darriwilian,0.0,333,2.0
Anrakhai,Darriwilian,Darriwilian,0.0,258,2.0
Kopaly,Darriwilian,Darriwilian,0.0,258,2.0
Tselinograd,Darriwilian,Sandbian,1.0,258,2.0
Alakol,Darriwilian,Darriwilian,0.0,133,2.0
Burultas,Darriwilian,Darriwilian,0.0,133,2.0
Abereiddian,Darriwilian,Darriwilian,0.0,"12, 2",2.0
Aseri,Darriwilian,Darriwilian,0.0,"12, 2",2.0
Chazyan,Darriwilian,Sandbian,1.0,2,2.0
Dobrotivian,Darriwilian,Darriwilian,0.0,2,2.0
Kirensko-Kudrinian,Darriwilian,Darriwilian,0.0,2,2.0
Kunda,Darriwilian,Darriwilian,0.0,"12, 2",2.0
Lasnamägi,Darriwilian,Darriwilian,0.0,"12, 2",2.0
Llandeilian,Darriwilian,Darriwilian,0.0,"12, 2",2.0
Llanvirn,Darriwilian,Darriwilian,0.0,2,2.0
Lower Dobrotivian,Darriwilian,Darriwilian,0.0,2,2.0
Lower Oretanian,Darriwilian,Darriwilian,0.0,2,2.0
Oretanian,Darriwilian,Darriwilian,0.0,2,2.0
Oretanian Upper,Darriwilian,Darriwilian,0.0,2,2.0
Uhaku,Darriwilian,Darriwilian,0.0,"12, 2",2.0
Upper Dobrotivian,Darriwilian,Darriwilian,0.0,2,2.0
Viru,Darriwilian,Katian,2.0,2,2.0
Duwibong,Darriwilian,Darriwilian,0.0,1,2.0
Haengmae,Darriwilian,Darriwilian,0.0,1,2.0
Jeongseon,Darriwilian,Darriwilian,0.0,1,2.0
Jigunsan,Darriwilian,Darriwilian,0.0,1,2.0
Makgol,Darriwilian,Darriwilian,0.0,1,2.0
Yeongheung,Darriwilian,Darriwilian,0.0,1,2.0
Yongtan Group,Darriwilian,Darriwilian,0.0,1,2.0
Malodiring-Ayan,Darriwilian,Darriwilian,0.0,201,2.0
Bugryshikha,Darriwilian,Sandbian,1.0,400,2.0
Kostinsky,Darriwilian,Darriwilian,0.0,400,2.0
Blidene,Sandbian,Katian,1.0,19,2.0
Lehtmetsa,Sandbian,Katian,1.0,18,2.0
Saku,Katian,Katian,0.0,18,2.0
Baksanian,Sandbian,Katian,1.0,335,2.0
Dolborian,Katian,Katian,0.0,"400, 335, 399, 2",2.0
Mangazeian,Sandbian,Katian,1.0,335,2.0
Bayan-Khongor,Katian,Katian,0.0,196,2.0
Chakyrskii,Katian,Katian,0.0,196,2.0
Dietkinskii,Katian,Katian,0.0,196,2.0
Nariingol,Katian,Katian,0.0,196,2.0
Orlovskii,Katian,Katian,0.0,196,2.0
Sairinskii,Katian,Katian,0.0,196,2.0
Taginskii,Katian,Katian,0.0,196,2.0
Tsagaan Del,Katian,Katian,0.0,196,2.0
Baksian,Sandbian,Katian,1.0,"400, 399, 2",2.0
Berounian,Sandbian,Katian,1.0,2,2.0
Caradoc,Sandbian,Sandbian,0.0,"399, 2",2.0
Cautleyan,Katian,Katian,0.0,"12, 2",2.0
Chatfieldian,Katian,Katian,0.0,"12, 2",2.0
Cheneyan,Katian,Katian,0.0,"12, 2",2.0
Eastonian,Katian,Katian,0.0,"12, 2",2.0
Edenian,Katian,Katian,0.0,"12, 2",2.0
Keila,Sandbian,Sandbian,0.0,"12, 2",2.0
Kralodvorian,Katian,Katian,0.0,2,2.0
Maysvillian,Katian,Katian,0.0,"12, 2",2.0
Middle Berounian,Sandbian,Katian,1.0,2,2.0
