name,oldest,youngest,ts_count,refs,rule
Calizas de Cistoideos,Ka3,Ka4,1.0,310,2.0
Liberty,Ka3,Ka3,0.0,"397, 46",2.0
Waynesville,Ka3,Ka3,0.0,397,2.0
Cautleyan,Ka4,Ka4,0.0,"12, 2",2.0
Kralodvorian,Ka3,Ka4,1.0,"271, 2, 321",2.0
Nirundian,Ka3,Ka4,1.0,2,2.0
BC11,Ka3,Ka3,0.0,9,2.0
Fjäcka,Ka3,Ka3,0.0,"17, 47, 9",2.0
Korgessaare,Ka3,Ka3,0.0,9,2.0
Tudulinna,Ka3,Ka3,0.0,9,2.0
Myoch,Ka3,Ka4,1.0,41,2.0
Penwhapple,Ka3,Ka3,0.0,41,2.0
Swindale,Ka3,Ka4,1.0,41,2.0
Venstøp,Ka3,Ka3,0.0,17,2.0
Králuv Dvur,Ka3,Ka4,1.0,271,2.0
Jonstorp,Ka4,Ka4,0.0,"17, 47, 9",2.0
Maquoketa Shale,Ka3,Ka4,1.0,47,2.0
Redhill,Ka3,Ka3,0.0,"47, 48",2.0
Sholeshook Limestone,Ka3,Ka3,0.0,"47, 48",2.0
Slade,Ka3,Ka3,0.0,"47, 48",2.0
Portrane Limestone,Ka3,Ka3,0.0,48,2.0
Pirgu,Ka4,Ka4,0.0,"17, 2, 46, 12",2.0
Whitewater,Ka4,Ka4,0.0,"397, 46",2.0
Whitewater isotope carbon excursion,Ka4,Ka4,0.0,"17, 46, 9",2.0
Akdombak,Ka3,Hi2,3.0,67,2.0
Iundyk,Ka3,Ka4,1.0,67,2.0
Kargaly,Ka3,Ka4,1.0,67,2.0
Oro,Ka3,Hi2,3.0,67,2.0
Boda Limestone,Ka4,Ka4,0.0,"17, 41",2.0
Bolindian,Ka4,Hi2,2.0,"12, 2",2.0
Burian,Ka4,Hi1,1.0,2,2.0
Chientangkiangian,Ka4,Ka4,0.0,"12, 2",2.0
Rawtheyan,Ka4,Ka4,0.0,"12, 2",2.0
Gamachian,Hi1,Hi2,1.0,"12, 2, 46",2.0
Salar del Rincon Upper,Ka4,Hi2,2.0,272,2.0
Adila,Ka4,Ka4,0.0,9,2.0
BC12,Ka4,Ka4,0.0,9,2.0
BC13,Ka4,Ka4,0.0,9,2.0
BC14,Ka4,Ka4,0.0,9,2.0
BC15,Ka4,Ka4,0.0,9,2.0
Halliku,Ka4,Ka4,0.0,9,2.0
Jelgava,Ka4,Ka4,0.0,9,2.0
Kuili,Ka4,Ka4,0.0,9,2.0
Moe,Ka4,Ka4,0.0,9,2.0
Moe carbon isotope excursion,Ka4,Ka4,0.0,9,2.0
Paroveja,Ka4,Ka4,0.0,"46, 9",2.0
Paroveja carbon isotope excursion,Ka4,Ka4,0.0,9,2.0
Ulunda,Ka4,Ka4,0.0,9,2.0
Keisley Limestone,Ka4,Hi1,1.0,41,2.0
Mill,Ka4,Ka4,0.0,41,2.0
Shalloch,Ka4,Ka4,0.0,41,2.0
Uqua,Ka4,Ka4,0.0,41,2.0
Grimsøya,Ka4,Ka4,0.0,17,2.0
Hanson Creek,Ka4,Hi2,2.0,17,2.0
Husbergøya,Ka4,Hi1,1.0,17,2.0
Langøyene,Ka4,Hi1,1.0,17,2.0
Nittsjö,Ka4,Ka4,0.0,17,2.0
Skjerholmen,Ka4,Ka4,0.0,17,2.0
Skogerholmen,Ka4,Ka4,0.0,17,2.0
Elkhorn,Ka4,Ka4,0.0,46,2.0
Elkhorn carbone isotope excursion,Ka4,Ka4,0.0,46,2.0
Ellis Bay,Ka4,Hi1,1.0,46,2.0
HICE,Ka4,Hi1,1.0,46,2.0
Stonewall,Ka4,Hi2,2.0,46,2.0
Stony Mountain,Ka4,Ka4,0.0,46,2.0
Chokpar,Ka4,Ka4,0.0,67,2.0
Karakongoi,Ka4,Hi2,2.0,67,2.0
Chebor,Ka4,Hi2,2.0,281,2.0
Caparo,Sa1,Sa1,0.0,253,2.0
Chazyan,Dw2,Sa1,2.0,2,2.0
Chertovskian,Sa1,Sa1,0.0,2,2.0
Dobrotivian,Dw3,Sa1,1.0,"271, 2, 321",2.0
